"id","dt","c_name","continent","nowConfirm","confirm","confirmAdd","suspect","heal","dead","confirmAddCut","confirmCompare","nowConfirmCompare","healCompare","deadCompare"
"181","30/8/2021 00:00:00","圣基茨和尼维斯","北美洲","501","1053","0","0","549","3","0","0","0","0","0"
"182","30/8/2021 00:00:00","钻石号邮轮","其他","0","712","0","0","699","13","0","0","0","0","0"
"183","30/8/2021 00:00:00","格林纳达","北美洲","195","357","40","0","161","1","0","0","0","0","0"
"184","23/3/2020 00:00:00","马提尼克岛","北美洲","36","37","0","0","0","1","0","0","0","0","0"
"185","30/8/2021 00:00:00","梵蒂冈","欧洲","0","27","0","0","27","0","0","0","0","0","0"
"186","30/8/2021 00:00:00","所罗门群岛","大洋洲","0","20","0","0","20","0","0","0","0","0","0"
"187","9/12/2020 00:00:00","西撒哈拉","非洲","1","10","0","0","8","1","0","0","0","0","0"
"188","30/8/2021 00:00:00","尚丹号",,"0","9","0","0","7","2","0","0","0","0","0"
"189","30/8/2021 00:00:00","瓦努阿图","大洋洲","0","4","0","0","3","1","0","0","0","0","0"
"190","30/8/2021 00:00:00","马绍尔群岛","大洋洲","0","4","0","0","4","0","0","0","0","0","0"
"191","30/8/2021 00:00:00","萨摩亚",,"0","3","0","0","3","0","0","0","0","0","0"
"192","30/8/2021 00:00:00","帕劳","大洋洲","2","2","0","0","0","0","0","0","0","0","0"
"193","30/8/2021 00:00:00","基里巴斯","大洋洲","2","2","0","0","0","0","0","0","0","0","0"
"194","30/8/2021 00:00:00","密克罗尼西亚",,"0","1","0","0","1","0","0","0","0","0","0"
